,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
131,9/1/2019 16:39:17,Alumni,> 40 th,Benyamin Sapiie (FITB),Kapabilitas ybs utk memajukan riset dan industri RI,Demi Agama Bangsa dan Almamater 
398,9/2/2019 17:12:27,Dosen,> 40 th,Benyamin Sapiie (FITB),Kecerdasan dan keberanian utk kemajuan ITB,ITB menjadi lebih dari sekarang 
510,9/2/2019 20:10:25,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Kapabilitas ybs utk memajukan riset dan industri RI,
603,9/3/2019 6:08:25,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Kapabilitas ybs utk memajukan riset dan industri RI,
648,9/3/2019 6:54:39,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Kapabilitas ybs utk meningkatkan ranking ITB,Sesuai alasan memilih
675,9/3/2019 7:15:42,Dosen,> 40 th,Benyamin Sapiie (FITB),Keberhasilan dan prestasi,ITB menghasilkan lulusan yg berintegritas sangat tinggi
678,9/3/2019 7:17:09,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
730,9/3/2019 8:09:52,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Pak Mino sebagai kandidat diharapkan mampu memberikan visi dan misi yang kompetitif dan sinergis 
734,9/3/2019 8:14:10,Alumni,> 40 th,Benyamin Sapiie (FITB),Kecerdasan dan keberanian utk kemajuan ITB,"Dengan kapabilitas, network, dan idealisme yg dimiliki Benyamin, maka 12 alasan diatas dapat tercapai."
768,9/3/2019 9:02:28,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Muda dan berenergi,
805,9/3/2019 9:57:29,Alumni,> 40 th,Benyamin Sapiie (FITB),Muda dan berenergi,
826,9/3/2019 10:34:43,Alumni,> 40 th,Benyamin Sapiie (FITB),Kapabilitas ybs utk meningkatkan ranking ITB,ITB masuk rank 5 besar PT terbaik di Asia
839,9/3/2019 10:57:39,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Kecerdasan dan keberanian utk kemajuan ITB,
936,9/3/2019 13:07:21,Umum,> 40 th,Benyamin Sapiie (FITB),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri","Mahasiswa itb lebih kreatif, dinamis, progresif, karena pintar dan religius adalah gambaran mahasiswa Itb. "
1187,9/3/2019 16:35:58,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
1707,9/5/2019 21:31:57,Alumni,> 40 th,Benyamin Sapiie (FITB),Keberhasilan dan prestasi,
1708,9/5/2019 21:36:59,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Kapabilitas ybs utk memajukan riset dan industri RI,
1709,9/5/2019 21:37:19,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
1710,9/5/2019 21:38:01,Alumni,25 - 40 th,Benyamin Sapiie (FITB),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
1711,9/5/2019 21:39:08,Alumni,> 40 th,Benyamin Sapiie (FITB),Kecerdasan dan keberanian utk kemajuan ITB,
1712,9/5/2019 21:39:52,Umum,> 40 th,Benyamin Sapiie (FITB),Keberhasilan dan prestasi,
1714,9/5/2019 21:43:28,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Karakter kepemimpinan dan leadership,
1715,9/5/2019 21:43:43,Alumni,> 40 th,Benyamin Sapiie (FITB),Sesuai dengan kriteria kekinian (Rektor 4.0),
1716,9/5/2019 21:50:58,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Kecerdasan dan keberanian utk kemajuan ITB,Rektor terpilih dapat meningkatkan kualitas lulusan ITB di tingkat global
1718,9/5/2019 22:00:27,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Kecerdasan dan keberanian utk kemajuan ITB,
1719,9/5/2019 22:04:52,Dosen,> 40 th,Benyamin Sapiie (FITB),Muda dan berenergi,
1720,9/5/2019 22:05:34,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Muda dan berenergi,
1721,9/5/2019 22:08:21,Alumni,> 40 th,Benyamin Sapiie (FITB),Kecerdasan dan keberanian utk kemajuan ITB,lulusan ITB siap secara mental dan kemampuan dalam memajukan bangsa Indonesia
1722,9/5/2019 22:37:14,Alumni,25 - 40 th,Benyamin Sapiie (FITB),Karakter kepemimpinan dan leadership,Musyawarah Mufakat
1723,9/5/2019 22:38:00,Mahasiswa,< 25 th,Benyamin Sapiie (FITB),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,
1725,9/5/2019 23:06:06,Alumni,> 40 th,Benyamin Sapiie (FITB),Kapabilitas ybs utk memajukan riset dan industri RI,
1726,9/6/2019 0:17:46,Pegawai / Tendik,25 - 40 th,Benyamin Sapiie (FITB),Muda dan berenergi,
