,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
1,9/1/2019 7:47:58,Alumni,25 - 40 th,Suhono Harso Supangkat (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
2,9/1/2019 7:49:32,Mahasiswa,< 25 th,Bambang Riyanto T (STEI),Keberhasilan dan prestasi,Semoga bisa membawa banyak perubahan di ITB
4,9/1/2019 8:00:33,Mahasiswa,< 25 th,Rangga Handika (Pengusaha),Muda dan berenergi,ITB bisa menjadi kampus technopreneur terbaik di Indonesia
6,9/1/2019 8:24:13,Mahasiswa,< 25 th,Satria Bijaksana (FTTM),Muda dan berenergi,
8,9/1/2019 9:19:59,Pegawai / Tendik,< 25 th,Suhono Harso Supangkat (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
9,9/1/2019 10:46:56,Pegawai / Tendik,25 - 40 th,Suhono Harso Supangkat (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),Dapat terus membawa ITB lebih baik
12,9/1/2019 11:58:42,Dosen,25 - 40 th,Bambang Riyanto T (STEI),Kapabilitas ybs utk memajukan riset dan industri RI,Semoga dosen bisa bertahan hidup dari riset dan tidak perlu berburu dan berebut proyek secara individualistis.
15,9/1/2019 12:30:22,Alumni,25 - 40 th,Megawati Santoso (FMIPA-KI),"Emansipasi, kesetaraan dan kebhinekaan",
16,9/1/2019 12:41:27,Dosen,> 40 th,Sigit Puji Santosa (FTMD),Kapabilitas ybs utk memajukan riset dan industri RI,
17,9/1/2019 13:09:23,Dosen,25 - 40 th,Satria Bijaksana (FTTM),Muda dan berenergi,
18,9/1/2019 13:11:56,Dosen,25 - 40 th,Deddy Kurniadi (FTI-TF),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",
19,9/1/2019 13:36:50,Pegawai / Tendik,25 - 40 th,Sigit Puji Santosa (FTMD),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
23,9/1/2019 13:57:44,Dosen,> 40 th,Sigit Puji Santosa (FTMD),Keberhasilan dan prestasi,Menuju ITB Global
25,9/1/2019 14:01:44,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
26,9/1/2019 14:02:27,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
27,9/1/2019 14:02:36,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",Pa acep menang
28,9/1/2019 14:03:04,Mahasiswa,25 - 40 th,Acep Purqon (FMIPA-FI),Karakter kepemimpinan dan leadership,
29,9/1/2019 14:03:17,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,
